,languages,statistics_level,programming_level,major,class_level,gender,Hispanic,race,LGBTQIA,international_student,transfer_student,first_generation_student
0,"Python, Java, R",5,8,Cognitive Science,Junior,Female,No,Asian,No,Yes,No,No
1,"Java, None of these (I'm not comfortable programming)",3,4,,,,,,,,,
2,None of these (I'm comfortable in another language),5,5,Electrical and Computer Engineering,Senior,Male,No,Asian,No,No,Yes,No
3,"Python, Java, MATLAB",7,8,Mathematics,Junior,Male,No,White,No,No,No,No
4,"Python, MATLAB",5,10,Physics,Senior,Male,Yes,White,No,No,No,Yes
5,None of these (I'm comfortable in another language),7,8,Computer Science and Engineering,Junior,Male,No,Asian,No,No,Yes,No
6,"Python, Java, MATLAB",8,10,I'm not an undergraduate,Postgraduate,Male,No,Asian,No,Yes,No,No
7,"Python, MATLAB",10,8,Economics,Sophomore,Female,No,Asian,,No,No,Yes
8,"Java, MATLAB",8,8,Computer Science and Engineering,Sophomore,Female,No,Asian,No,No,No,Yes
9,"Python, None of these (I'm not comfortable programming)",2,2,Cognitive Science,Senior,Female,No,White,No,No,Yes,No
10,"Python, Java",3,5,Cognitive Science,Sophomore,Male,No,Asian,No,Yes,No,Yes
11,Python,7,5,Cognitive Science,Freshman,Female,No,Asian,No,Yes,No,No
12,"Python, Java, MATLAB",6,9,Computer Science and Engineering,Senior,Female,Yes,Decline to answer,No,No,No,Yes
13,"Python, Java, MATLAB",7,7,Data Science,Sophomore,Female,No,Asian,No,No,No,No
14,"Python, Java",5,5,Mathematics,Sophomore,Female,No,Asian,No,No,No,No
15,Python,6,5,Cognitive Science,Freshman,Female,No,Asian,,Yes,No,No
16,Python,4,4,Cognitive Science,Sophomore,Female,No,Asian,No,No,No,Yes
17,Python,8,8,Electrical and Computer Engineering,Junior,Male,No,Asian,No,No,Yes,Yes
18,"Python, Java",6,8,Mathematics,Sophomore,Female,Yes,White,No,No,No,No
19,"Python, Java",7,10,Computer Science and Engineering,Senior,Male,Yes,White,No,Yes,No,No
20,"Python, Java",6,9,Computer Science and Engineering,Senior,Male,No,"Asian, White",No,No,No,No
21,Python,5,5,Cognitive Science,Senior,Female,No,Asian,No,No,Yes,No
22,"Python, MATLAB",5,4,Cognitive Science,Sophomore,Female,No,White,Decline to answer,No,No,Yes
23,None of these (I'm not comfortable programming),6,4,Cognitive Science,Junior,Male,Yes,White,No,No,Yes,Yes
24,"Python, Java",3,8,Data Science,Sophomore,Female,No,White,Yes,No,No,No
25,"Java, R",7,8,Computer Science and Engineering,Junior,Male,Yes,American Indian or Alaska Native,No,No,No,No
26,None of these (I'm not comfortable programming),5,5,,,,,,,,,
27,"Python, MATLAB",6,6,Mathematics,Junior,Female,No,White,No,No,No,No
28,Python,7,7,Data Science,Senior,Male,No,Asian,No,Yes,No,No
29,"Python, R",10,10,,,,,,,,,
30,"Python, MATLAB",7,9,Electrical and Computer Engineering,Senior,Male,Yes,White,No,No,Yes,Yes
31,Python,6,5,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Senior,Male,No,Asian,No,No,No,Yes
32,None of these (I'm not comfortable programming),3,5,Cognitive Science,Sophomore,Male,No,Asian,No,No,No,Decline to answer
33,Python,8,4,Psychology,Junior,Female,Yes,White,No,No,Yes,Yes
34,"Python, Java, R",8,9,Data Science,Senior,Male,Yes,White,No,No,Yes,Yes
35,"Python, None of these (I'm comfortable in another language)",7,8,Data Science,Sophomore,Male,No,Asian,No,No,Yes,No
36,"Python, Java",2,8,Mathematics,Junior,Male,No,"American Indian or Alaska Native, White",No,No,No,No
37,"Python, Java",8,10,Data Science,Junior,Male,No,"Asian, White",No,No,Yes,No
38,"Python, MATLAB",5,5,Cognitive Science,Junior,Nonbinary,No,Asian,Yes,No,No,No
39,Python,6,4,Psychology,Junior,Female,Yes,,No,No,No,Yes
40,"Python, Java, MATLAB",5,10,Computer Science and Engineering,Junior,Male,No,"Black or African American, White",No,No,No,No
41,Python,8,8,Data Science,Junior,Female,No,Asian,No,No,No,Yes
42,"Python, Java, MATLAB",6,8,,,,,,,,,
43,"Python, MATLAB",5,3,,,,,,,,,
44,Python,7,8,Data Science,Freshman,Male,No,Asian,No,No,No,No
45,Java,7,7,Mathematics,Junior,Female,No,Asian,No,No,Yes,No
46,"Python, Java, R",10,10,Data Science,Senior,Male,No,Asian,,No,No,Yes
47,"Python, Java",6,6,Computer Science and Engineering,Junior,Female,No,Asian,No,Yes,Yes,Yes
48,"Python, Java, MATLAB",7,8,Mathematics,Senior,Male,No,White,No,No,No,
49,"R, None of these (I'm not comfortable programming)",5,3,Mathematics,Junior,Male,No,White,No,No,Yes,Yes
50,"Python, R",7,6,Data Science,Junior,Male,No,Asian,No,No,Yes,Yes
51,Python,7,7,Computer Science and Engineering,Senior,Male,Yes,Asian,No,No,Yes,Yes
52,Python,5,5,Psychology,Senior,Female,No,Asian,No,,Yes,No
53,Java,5,6,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Junior,Female,Yes,White,Yes,No,No,Yes
54,"Python, R",2,3,Cognitive Science,Junior,Female,No,Asian,,,,Yes
55,Python,6,7,Data Science,Junior,Female,No,Asian,No,Yes,Yes,No
56,Python,8,10,Computer Science and Engineering,Junior,Male,No,Asian,No,Yes,Yes,No
57,Python,6,7,Data Science,Junior,Male,No,Asian,No,Yes,Yes,Yes
58,Python,9,5,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Junior,Female,Yes,,Decline to answer,No,No,Yes
59,"Python, None of these (I'm not comfortable programming)",3,4,Cognitive Science,Sophomore,Female,No,Asian,Yes,No,No,Yes
60,"Python, Java",5,8,Computer Science and Engineering,Junior,Male,No,White,No,No,No,No
61,MATLAB,3,5,Cognitive Science,Junior,Female,Yes,"Asian, White",Decline to answer,No,Yes,No
62,"Python, MATLAB",5,5,,,,,,,,,
63,"Python, Java",8,10,Computer Science and Engineering,Senior,Male,No,Asian,No,Yes,No,Yes
64,Java,5,8,Computer Science and Engineering,Sophomore,Male,Yes,Decline to answer,No,No,No,Yes
65,Python,5,5,Cognitive Science,Sophomore,Male,No,Asian,No,Yes,No,No
66,"Python, MATLAB",6,7,Data Science,Sophomore,Male,No,Asian,No,No,No,Yes
67,"Java, MATLAB",6,8,Electrical and Computer Engineering,Senior,Male,No,Asian,No,No,No,Decline to answer
68,Python,5,6,Computer Science and Engineering,Senior,Female,No,"Asian, White",Yes,No,No,Yes
69,"Python, MATLAB",7,7,Data Science,Junior,Male,No,"Asian, White",Decline to answer,Decline to answer,Decline to answer,Decline to answer
70,"Python, Java",5,9,Computer Science and Engineering,Senior,Male,No,"Asian, White",No,No,Yes,Yes
71,"Python, R",5,5,Economics,Senior,Female,No,Asian,No,Yes,Yes,No
72,"Python, Java, MATLAB, R",9,10,Data Science,Senior,Male,No,Asian,Decline to answer,No,No,Yes
73,"Python, MATLAB",4,9,Electrical and Computer Engineering,Senior,Male,No,"American Indian or Alaska Native, White",No,No,Yes,No
74,"Python, MATLAB",5,3,Cognitive Science,Junior,Female,Yes,White,No,No,No,Yes
75,"Python, Java, MATLAB",8,9,Computer Science and Engineering,Junior,Female,No,Asian,No,Yes,No,No
76,"Python, Java, MATLAB",5,10,Computer Science and Engineering,Senior,Nonbinary,Yes,White,Yes,No,No,No
77,"Python, Java, MATLAB",3,10,Data Science,Sophomore,Female,No,White,,,No,No
78,None of these (I'm comfortable in another language),8,5,Cognitive Science,Junior,Male,No,Asian,No,No,Yes,No
79,"Python, Java",5,8,,,,,,,,,
80,Python,6,6,Psychology,Senior,Male,No,Asian,No,No,No,No
81,Python,7,6,Data Science,Senior,Male,No,Asian,No,Yes,,Yes
82,"Python, Java, MATLAB",5,8,,,,,,,,,
83,"Python, Java",6,8,Data Science,Junior,Male,No,Asian,No,Yes,No,No
84,"Python, Java",6,10,Data Science,Junior,Male,No,Asian,No,No,No,No
85,Java,5,3,Psychology,Senior,Female,No,White,No,No,Yes,No
86,"Python, Java, MATLAB, R",6,8,Data Science,Junior,Female,No,Black or African American,No,No,No,No
87,"Python, Java",8,8,Data Science,Junior,Female,No,Asian,No,No,No,No
88,None of these (I'm not comfortable programming),4,5,,,,,,,,,
89,None of these (I'm not comfortable programming),5,4,Electrical and Computer Engineering,Senior,Male,No,,,,,
90,Python,3,4,Cognitive Science,Junior,,No,Asian,Yes,No,No,No
91,None of these (I'm comfortable in another language),8,6,,,,,,,,,
92,"Python, Java",7,8,"Other STEM (sorry, until now not many of our students have come from your degree!)",Sophomore,Male,No,Decline to answer,No,No,No,Yes
93,None of these (I'm not comfortable programming),4,2,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Senior,Male,No,White,No,No,Yes,No
94,"Python, Java",6,8,Computer Science and Engineering,Junior,Female,No,Asian,No,No,Yes,No
95,"Python, Java",5,6,Sociology,Senior,Male,No,Asian,No,No,Yes,No
96,Python,7,7,Data Science,Junior,Female,No,Asian,Yes,No,Yes,No
97,"Java, MATLAB",5,7,Mathematics,Senior,Male,No,"Asian, White",No,No,No,No
98,Java,1,5,Computer Science and Engineering,Junior,Male,No,Black or African American,No,No,Yes,No
99,"Python, Java",7,9,Mathematics,Junior,Female,No,Asian,No,No,No,No
100,"Python, Java",3,7,Computer Science and Engineering,Junior,Male,No,Asian,No,No,Yes,No
101,None of these (I'm not comfortable programming),7,3,Cognitive Science,Senior,Female,No,Black or African American,No,No,Yes,Yes
102,None of these (I'm not comfortable programming),4,3,Cognitive Science,Junior,Female,No,,,No,No,No
103,"Python, Java",7,9,Data Science,Sophomore,Female,No,Asian,No,No,No,Yes
104,None of these (I'm not comfortable programming),5,5,Cognitive Science,Sophomore,Female,No,Asian,No,No,No,Yes
105,"Python, Java",2,8,Computer Science and Engineering,Senior,Female,No,Asian,No,No,No,Yes
106,Python,4,8,Electrical and Computer Engineering,Senior,Female,No,Black or African American,No,No,Yes,No
107,Python,8,8,Data Science,Senior,Female,No,Asian,No,No,Yes,No
108,Python,5,6,Data Science,Freshman,Male,No,Asian,No,No,No,No
109,Python,3,5,Computer Science and Engineering,Junior,Male,No,Asian,No,No,Yes,No
110,"Python, Java, R",5,4,,,,,,,,,
111,Python,7,7,Data Science,Junior,Female,No,Asian,No,Yes,No,No
112,Python,5,7,Computer Science and Engineering,Junior,Male,No,Asian,No,No,Yes,Yes
113,"Python, Java, MATLAB",3,7,Mathematics,Sophomore,Male,No,Asian,No,Yes,No,Yes
114,"Python, Java",5,9,"Other STEM (sorry, until now not many of our students have come from your degree!)",Junior,Female,No,Asian,No,No,Yes,Yes
115,"Python, MATLAB, R",7,5,Psychology,Senior,Female,No,"Asian, White",No,No,No,No
116,"Python, Java",4,10,Computer Science and Engineering,Sophomore,Male,No,Asian,No,No,No,Yes
117,None of these (I'm not comfortable programming),3,6,Cognitive Science,Senior,Female,No,Black or African American,Decline to answer,No,No,No
118,Java,7,8,Cognitive Science,Junior,Female,No,Asian,Yes,Yes,No,No
119,"Python, Java",4,7,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Freshman,Male,No,Asian,No,Yes,No,No
120,"Python, R",6,5,Economics,Senior,Male,No,Asian,No,Yes,Yes,No
121,"Python, Java",5,5,Mathematics,Senior,Female,No,Asian,No,No,No,Yes
122,Python,3,5,Data Science,Sophomore,Female,No,Asian,No,No,No,Decline to answer
123,"None of these (I'm comfortable in another language), None of these (I'm not comfortable programming)",5,4,Cognitive Science,Junior,Female,Yes,White,No,No,No,Yes
124,"Python, Java, MATLAB",7,7,Computer Science and Engineering,Senior,Male,No,White,No,Yes,No,No
125,"Python, Java, MATLAB",7,10,Computer Science and Engineering,Senior,Male,No,Asian,No,Yes,No,No
126,Java,4,4,Cognitive Science,Junior,Female,No,Asian,No,No,Yes,No
127,"Python, Java",7,8,Data Science,Sophomore,Female,No,Asian,No,No,No,No
128,"Python, Java",7,6,Data Science,Sophomore,Male,No,Asian,No,No,No,Yes
129,"Python, Java, MATLAB",7,8,Computer Science and Engineering,Junior,Male,No,Asian,No,No,No,Yes
130,Python,8,7,Cognitive Science,Sophomore,Male,No,Asian,No,Yes,No,No
131,"Python, Java",6,9,,,,,,,,,
132,"Python, Java, MATLAB",6,10,Computer Science and Engineering,Senior,Male,No,Asian,No,No,No,No
133,None of these (I'm not comfortable programming),8,3,Data Science,Junior,Female,No,Asian,No,No,Yes,No
134,Python,4,4,Cognitive Science,Sophomore,Male,No,Asian,No,No,No,Yes
135,None of these (I'm not comfortable programming),9,3,Mathematics,Senior,Female,No,White,No,No,Yes,No
136,Python,4,6,Cognitive Science,Junior,Female,No,Asian,No,No,Yes,Yes
137,Python,6,6,Cognitive Science,Junior,Female,No,Asian,No,No,Yes,Yes
138,None of these (I'm comfortable in another language),3,4,Cognitive Science,Junior,Female,No,Asian,Yes,No,Yes,Yes
139,None of these (I'm not comfortable programming),5,3,Cognitive Science,Junior,Female,No,"Asian, White",Yes,No,Yes,No
140,Python,5,5,Cognitive Science,Sophomore,Male,No,Asian,No,Yes,No,No
141,None of these (I'm not comfortable programming),7,4,Cognitive Science,Sophomore,Male,No,Asian,No,No,No,No
142,Java,7,8,Cognitive Science,Junior,Female,No,American Indian or Alaska Native,No,No,No,No
143,"Python, MATLAB, R",10,8,Data Science,Junior,Female,No,Asian,No,No,Yes,No
144,"MATLAB, None of these (I'm comfortable in another language)",4,6,Electrical and Computer Engineering,Junior,Male,No,Asian,No,No,No,No
145,None of these (I'm not comfortable programming),5,4,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Junior,Female,No,White,Yes,No,Yes,No
146,None of these (I'm not comfortable programming),6,4,Psychology,Sophomore,Female,No,Asian,No,No,No,No
147,"Python, Java",8,7,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Junior,Male,Yes,Decline to answer,No,No,No,Yes
148,Java,4,7,Computer Science and Engineering,Senior,Male,No,Decline to answer,No,No,Yes,No
149,Python,6,4,Data Science,Junior,Male,No,Asian,No,No,Yes,No
150,"Python, Java, MATLAB",3,8,,,,,,,,,
151,"Python, Java",6,9,,,,,,,,,
152,"Python, Java",2,3,Cognitive Science,Junior,Female,No,Asian,No,Yes,No,No
153,Python,8,7,Data Science,Junior,Female,No,Asian,No,No,Yes,No
154,Python,6,8,Data Science,Sophomore,Male,No,"Asian, White",No,No,No,No
155,"Java, R",8,10,Computer Science and Engineering,Senior,Female,No,Asian,,No,Yes,Yes
156,Python,7,3,Cognitive Science,Junior,Female,No,Asian,No,No,No,No
157,Python,5,4,Psychology,Junior,Female,No,White,Yes,No,No,No
158,Python,5,6,Cognitive Science,Junior,Female,Yes,White,Decline to answer,No,No,Yes
159,"Python, Java",7,4,Cognitive Science,Sophomore,Female,No,Asian,No,No,No,Yes
160,"Python, Java, MATLAB",5,10,Computer Science and Engineering,Senior,Male,No,Asian,No,No,No,No
161,Python,7,8,Data Science,Sophomore,Male,No,"Asian, White",No,No,No,No
162,Python,8,6,Cognitive Science,Sophomore,Female,Yes,Decline to answer,Yes,No,No,Yes
163,Java,7,6,"Other STEM (sorry, until now not many of our students have come from your degree!)",Junior,Male,No,Asian,No,Yes,No,No
164,Python,4,6,Biology,Junior,Female,No,Asian,Yes,No,No,Yes
165,"Python, Java, MATLAB",9,7,,,,,,,,,
166,Python,8,8,Computer Science and Engineering,Senior,Male,No,Asian,No,Yes,Yes,No
167,None of these (I'm comfortable in another language),3,4,Computer Science and Engineering,Junior,Male,No,White,No,No,Yes,Yes
168,"Python, Java",8,8,Cognitive Science,Junior,Female,No,Asian,No,No,Yes,Yes
169,Python,6,3,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Junior,Female,No,Asian,Yes,No,No,No
170,Java,4,7,Computer Science and Engineering,Junior,Female,No,White,No,No,Yes,Yes
171,Python,6,6,Data Science,Junior,Male,Yes,American Indian or Alaska Native,No,No,Yes,No
172,Python,5,5,,,,,,,,,
173,R,7,3,Political Science,Senior,Male,No,Asian,Yes,No,No,No
174,Python,5,3,Cognitive Science,Senior,Male,No,Asian,Yes,No,No,No
175,Python,4,3,Cognitive Science,Senior,Male,No,White,No,No,No,No
176,"Python, Java, MATLAB",7,10,Computer Science and Engineering,Senior,Male,No,Asian,No,Yes,Yes,No
177,"Python, Java, R",7,10,Data Science,Sophomore,Male,No,Asian,No,No,No,No
178,Java,8,6,Mathematics,Junior,Male,No,Asian,No,No,No,Yes
179,Python,3,5,Cognitive Science,Sophomore,Female,No,Asian,,No,No,Yes
180,None of these (I'm not comfortable programming),6,5,Cognitive Science,Junior,Female,No,Asian,Yes,No,Yes,No
181,"Python, Java",7,10,Mathematics,Freshman,Male,Decline to answer,Decline to answer,No,Yes,No,No
182,Python,2,5,Mathematics,Sophomore,Female,No,Asian,No,Yes,No,No
183,"Python, Java",5,10,Mathematics,Junior,Male,No,White,No,No,Yes,No
184,Python,6,5,Cognitive Science,Sophomore,Female,No,Black or African American,Yes,No,No,No
185,Python,4,8,Data Science,Junior,Nonbinary,No,Asian,Yes,No,No,No
186,"Python, Java, MATLAB",7,10,Computer Science and Engineering,Junior,Male,No,Asian,No,No,No,Yes
187,"Python, Java",7,4,Cognitive Science,Junior,Male,No,Asian,No,No,Yes,No
188,Python,8,3,Cognitive Science,Junior,Female,No,Asian,No,No,No,No
189,"Python, Java",6,5,Mathematics,Junior,Female,No,Asian,No,Yes,No,No
190,"Python, Java",5,9,Mathematics,Sophomore,Male,No,Asian,No,Yes,No,No
191,"Python, Java, MATLAB",5,5,Data Science,Freshman,Male,No,Asian,No,No,No,No
192,"Python, Java",5,10,Mathematics,Junior,Male,No,Asian,No,Yes,No,No
193,"Python, R",7,8,Computer Science and Engineering,Senior,Male,No,"Asian, Native Hawaiian or Other Pacific Islander",No,Yes,Yes,No
194,"Python, Java",7,9,Computer Science and Engineering,Senior,Male,No,White,No,No,Yes,No
195,None of these (I'm comfortable in another language),6,8,Electrical and Computer Engineering,Junior,Male,No,Asian,No,No,Yes,Yes
196,"Python, Java",7,8,Computer Science and Engineering,Sophomore,Male,No,Asian,No,No,No,No
197,"Java, None of these (I'm comfortable in another language)",2,8,Computer Science and Engineering,Sophomore,Male,No,Asian,No,No,No,No
198,None of these (I'm not comfortable programming),5,3,Cognitive Science,Sophomore,Female,No,Asian,No,No,No,No
199,None of these (I'm not comfortable programming),5,2,Cognitive Science,Junior,Female,No,Asian,No,No,No,No
200,"Python, Java, MATLAB",8,8,Physics,Junior,Male,No,White,No,No,No,No
201,Java,2,7,Electrical and Computer Engineering,Sophomore,Male,No,Black or African American,No,No,No,Yes
202,"Python, Java",6,8,Mathematics,Senior,Female,No,Asian,No,No,No,No
203,Python,7,4,Cognitive Science,Sophomore,Decline to answer,No,Asian,Yes,No,No,No
204,Python,6,5,"Other STEM (sorry, until now not many of our students have come from your degree!)",Senior,Female,Yes,Decline to answer,Yes,No,No,Yes
205,None of these (I'm not comfortable programming),6,4,Cognitive Science,Sophomore,Female,No,Asian,No,Yes,No,No
206,None of these (I'm not comfortable programming),5,3,Chemistry,Senior,Male,No,Asian,No,No,No,Yes
207,None of these (I'm not comfortable programming),4,4,Data Science,Sophomore,Male,No,Asian,No,No,No,No
208,"Python, Java, MATLAB",3,9,"Other STEM (sorry, until now not many of our students have come from your degree!)",Sophomore,Female,Yes,White,No,No,No,Yes
209,"Python, Java",2,10,"Other STEM (sorry, until now not many of our students have come from your degree!)",Freshman,Male,No,Asian,No,No,No,Yes
210,"Python, Java, MATLAB",6,7,Data Science,Sophomore,Female,Yes,White,No,No,No,Yes
211,"Python, Java",3,3,Cognitive Science,Junior,Female,,Asian,Yes,No,No,No
212,"Python, Java, MATLAB",8,10,Data Science,Sophomore,Male,No,Asian,No,No,No,No
213,"Python, Java",10,8,Data Science,Sophomore,Female,No,Asian,,No,No,Yes
214,Python,3,5,Cognitive Science,Sophomore,Female,No,White,No,No,No,No
215,"Python, Java",8,8,Computer Science and Engineering,Sophomore,Male,No,White,No,No,No,No
216,"Python, Java, MATLAB",7,9,Mathematics,Junior,Male,No,Asian,No,No,No,Yes
217,None of these (I'm not comfortable programming),1,1,Economics,Junior,Male,No,Asian,No,No,No,Yes
218,"Python, MATLAB",9,8,Mathematics,Sophomore,Female,No,Asian,Yes,No,No,Yes
219,Java,8,7,,,,,,,,,
220,"Python, MATLAB",6,7,Cognitive Science,Sophomore,Male,No,Asian,No,No,No,Yes
221,"Python, Java",5,6,Electrical and Computer Engineering,Senior,Male,No,White,No,No,Yes,No
222,"Python, None of these (I'm comfortable in another language)",6,10,Computer Science and Engineering,Junior,Male,No,Asian,Decline to answer,No,Yes,No
223,Python,7,5,Cognitive Science,Junior,Female,No,Asian,No,No,No,No
224,"Python, Java, MATLAB, R",5,7,Electrical and Computer Engineering,Senior,Male,No,Asian,No,No,No,Yes
225,"Python, Java",8,7,Data Science,Junior,Female,No,Asian,No,Yes,Yes,No
226,"Python, Java",3,6,Computer Science and Engineering,Freshman,Male,Yes,Asian,No,No,No,Decline to answer
227,Python,7,6,Data Science,Junior,Female,No,Asian,Yes,No,Yes,Yes
228,"Python, Java, MATLAB",10,9,Computer Science and Engineering,Sophomore,Male,No,Asian,No,No,No,No
229,"Python, Java",9,9,Data Science,Senior,Male,No,Asian,No,No,No,No
230,"Python, Java, None of these (I'm comfortable in another language)",4,10,Cognitive Science,Junior,Male,No,White,No,No,No,No
231,"Python, Java, MATLAB",8,7,Cognitive Science,Freshman,Female,No,Asian,No,Yes,No,No
232,Python,6,4,Cognitive Science,Junior,Female,No,Asian,No,No,No,No
233,None of these (I'm not comfortable programming),7,3,Biology,Junior,Female,No,Asian,No,Yes,No,No
234,"Python, Java, MATLAB",10,9,Mathematics,Sophomore,Male,No,Asian,No,Yes,No,No
235,None of these (I'm not comfortable programming),8,3,Psychology,Senior,Female,No,Asian,Yes,No,No,No
236,Python,7,6,"Other liberal arts (sorry, until now not many of our students have come from your degree!)",Senior,Male,No,Asian,No,No,No,Yes
237,"Python, Java",6,8,Computer Science and Engineering,Senior,Male,No,Asian,No,Yes,Yes,No
238,"Python, MATLAB",3,4,Physics,Junior,Female,No,Asian,Yes,No,No,Yes
